WS_Nm2,TW_takeoff,TW_cruise_seaLevel,TW_cruise_altitude,TW_OEI,TW_activeEnvelope,WS_landing_weight_limit,WS_takeoff_axis_landing_limit,betaLanding
5500,0.32218137254902,0.194673747815271,0.0566500606142438,0.285,0.32218137254902,4743.14850807009,5580.17471537658,0.85
5510,0.322767156862745,0.194604205070617,0.0566298236755496,0.285,0.322767156862745,4743.14850807009,5580.17471537658,0.85
5520,0.323352941176471,0.194535428830253,0.0566098097896035,0.285,0.323352941176471,4743.14850807009,5580.17471537658,0.85
5530,0.323938725490196,0.194467414935926,0.0565900177463545,0.285,0.323938725490196,4743.14850807009,5580.17471537658,0.85
5540,0.324524509803922,0.19440015925941,0.0565704463444884,0.285,0.324524509803922,4743.14850807009,5580.17471537658,0.85
5550,0.325110294117647,0.19433365770223,0.0565510943913489,0.285,0.325110294117647,4743.14850807009,5580.17471537658,0.85
5560,0.325696078431373,0.194267906195396,0.0565319607028603,0.285,0.325696078431373,4743.14850807009,5580.17471537658,0.85
5570,0.326281862745098,0.194202900699141,0.0565130441034499,0.285,0.326281862745098,4743.14850807009,5580.17471537658,0.85
5580,0.326867647058823,0.194138637202653,0.0564943434259722,0.285,0.326867647058823,4743.14850807009,5580.17471537658,0.85
5590,0.327453431372549,0.194075111723825,0.0564758575116331,0.285,0.327453431372549,4743.14850807009,5580.17471537658,0.85
5600,0.328039215686274,0.19401232030899,0.056457585209916,0.285,0.328039215686274,4743.14850807009,5580.17471537658,0.85
5610,0.328625,0.193950259032671,0.0564395253785073,0.285,0.328625,4743.14850807009,5580.17471537658,0.85
5620,0.329210784313725,0.193888923997333,0.0564216768832238,0.285,0.329210784313725,4743.14850807009,5580.17471537658,0.85
5630,0.329796568627451,0.193828311333129,0.0564040385979407,0.285,0.329796568627451,4743.14850807009,5580.17471537658,0.85
5640,0.330382352941176,0.193768417197661,0.0563866094045195,0.285,0.330382352941176,4743.14850807009,5580.17471537658,0.85
5650,0.330968137254902,0.193709237775732,0.056369388192738,0.285,0.330968137254902,4743.14850807009,5580.17471537658,0.85
5660,0.331553921568627,0.193650769279107,0.05635237386022,0.285,0.331553921568627,4743.14850807009,5580.17471537658,0.85
5670,0.332139705882353,0.193593007946276,0.0563355653123663,0.285,0.332139705882353,4743.14850807009,5580.17471537658,0.85
5680,0.332725490196078,0.19353595004222,0.056318961462286,0.285,0.332725490196078,4743.14850807009,5580.17471537658,0.85
5690,0.333311274509804,0.193479591858175,0.056302561230729,0.285,0.333311274509804,4743.14850807009,5580.17471537658,0.85
5700,0.333897058823529,0.193423929711405,0.0562863635460188,0.285,0.333897058823529,4743.14850807009,5580.17471537658,0.85
5710,0.334482843137255,0.19336895994497,0.0562703673439864,0.285,0.334482843137255,4743.14850807009,5580.17471537658,0.85
5720,0.33506862745098,0.193314678927507,0.0562545715679044,0.285,0.33506862745098,4743.14850807009,5580.17471537658,0.85
5730,0.335654411764706,0.193261083052998,0.0562389751684224,0.285,0.335654411764706,4743.14850807009,5580.17471537658,0.85
5740,0.336240196078431,0.193208168740558,0.0562235771035023,0.285,0.336240196078431,4743.14850807009,5580.17471537658,0.85
5750,0.336825980392157,0.19315593243421,0.0562083763383551,0.285,0.336825980392157,4743.14850807009,5580.17471537658,0.85
5760,0.337411764705882,0.193104370602673,0.0561933718453779,0.285,0.337411764705882,4743.14850807009,5580.17471537658,0.85
5770,0.337997549019608,0.193053479739146,0.0561785626040913,0.285,0.337997549019608,4743.14850807009,5580.17471537658,0.85
5780,0.338583333333333,0.193003256361094,0.0561639476010784,0.285,0.338583333333333,4743.14850807009,5580.17471537658,0.85
5790,0.339169117647059,0.192953697010046,0.0561495258299233,0.285,0.339169117647059,4743.14850807009,5580.17471537658,0.85
5800,0.339754901960784,0.192904798251377,0.0561352962911507,0.285,0.339754901960784,4743.14850807009,5580.17471537658,0.85
5810,0.34034068627451,0.192856556674112,0.0561212579921666,0.285,0.34034068627451,4743.14850807009,5580.17471537658,0.85
5820,0.340926470588235,0.192808968890718,0.0561074099471989,0.285,0.340926470588235,4743.14850807009,5580.17471537658,0.85
5830,0.341512254901961,0.192762031536904,0.0560937511772391,0.285,0.341512254901961,4743.14850807009,5580.17471537658,0.85
