AR,Span_m,RootChord_m,TipChord_m,MAC_m,K,L_over_D,TW_cruise,TW_req,TW_margin,Mroot_MNm,Score
8.16,37.6512201172817,6.96470960364072,2.26353062118323,5.01327681846969,0.0458924288038914,16.984571703894,0.20232633337764,0.292892156862745,0.143765690376569,4.08815187838904,0.493783051233571
8.17,37.6742836539728,6.96044593038919,2.26214492737649,5.01020777819523,0.0458362569204105,16.9921557398941,0.202236029932945,0.292892156862745,0.143765690376569,4.09065610642075,0.493482426631168
8.18,37.6973330802061,6.95619007800085,2.26076177535028,5.00714436746665,0.045780222376498,16.9997279841302,0.202145947279068,0.292892156862745,0.143765690376569,4.09315880234556,0.493191885044567
8.19,37.7203684218487,6.95194202259519,2.25938115734344,5.00408656909446,0.0457243246690786,17.0072884640819,0.202056084607252,0.292892156862745,0.143765690376569,4.09565996897209,0.492911383830941
8.2,37.7433897046887,6.94770174039368,2.25800306562795,5.00103436596262,0.0456685632975309,17.0148372071436,0.201966441112685,0.292892156862745,0.143765690376569,4.09815960910041,0.492640880565927
8.21,37.7663969544356,6.94346920771918,2.25662749250873,4.99798774102805,0.0456129377636728,17.0223742406245,0.201877015994474,0.292892156862745,0.143765690376569,4.10065772552204,0.492380333042254
8.22,37.7893901967206,6.93924440099537,2.2552544303235,4.99494667732026,0.0455574475717462,17.0298995917494,0.201787808455627,0.292892156862745,0.143765690376569,4.10315432102,0.492129699268394
8.23,37.812369457097,6.93502729674628,2.25388387144254,4.99191115794095,0.0455020922284026,17.0374132876585,0.201698817703022,0.292892156862745,0.143765690376569,4.10564939836887,0.491888937467235
8.24,37.8353347610405,6.93081787159562,2.25251580826858,4.98888116606364,0.0454468712426886,17.0449153554083,0.20161004294739,0.292892156862745,0.143765690376569,4.10814296033478,0.491658006074717
8.25,37.8582861339496,6.92661610226636,2.25115023323657,4.98585668493324,0.0453917841260308,17.0524058219713,0.201521483403286,0.292892156862745,0.143765690376569,4.11063500967548,0.491436863738548
8.26,37.8812236011457,6.9224219655801,2.24978713881353,4.98283769786568,0.045336830392222,17.0598847142369,0.201433138289071,0.292892156862745,0.143765690376569,4.11312554914037,0.491225469316858
8.27,37.9041471878738,6.91823543845658,2.24842651749839,4.97982418824752,0.0452820095574067,17.0673520590113,0.201345006826886,0.292892156862745,0.143765690376569,4.11561458147052,0.491023781876908
8.28,37.9270569193023,6.91405649791311,2.24706836182176,4.97681613953557,0.0452273211400669,17.074807883018,0.201257088242629,0.292892156862745,0.143765690376569,4.11810210939874,0.490831760693813
8.29,37.949952820524,6.90988512106408,2.24571266434582,4.9738135352565,0.0451727646610077,17.0822522128983,0.201169381765933,0.292892156862745,0.143765690376569,4.12058813564956,0.490649365249231
8.3,37.9728349165558,6.9057212851204,2.24435941766413,4.97081635900648,0.0451183396433438,17.0896850752112,0.201081886630145,0.292892156862745,0.143765690376569,4.12307266293931,0.490476555230098
8.31,37.9957032323393,6.90156496738902,2.24300861440143,4.96782459445077,0.0450640456124854,17.0971064964339,0.200994602072301,0.292892156862745,0.143765690376569,4.12555569397614,0.490313290527374
8.32,38.0185577927412,6.89741614527234,2.24166024721351,4.96483822532339,0.0450098820961242,17.1045165029625,0.200907527333106,0.292892156862745,0.143765690376569,4.12803723146007,0.490159531234778
8.33,38.0413986225533,6.89327479626778,2.24031430878703,4.96185723542672,0.0449558486242201,17.1119151211115,0.20082066165691,0.292892156862745,0.143765690376569,4.13051727808298,0.490015237647531
8.34,38.0642257464933,6.8891408979672,2.23897079183934,4.9588816086311,0.0449019447289873,17.1193023771149,0.200734004291688,0.292892156862745,0.143765690376569,4.1329958365287,0.489880370261139
8.35,38.0870391892045,6.8850144280564,2.23762968911833,4.95591132887456,0.0448481699448807,17.1266782971261,0.200647554489017,0.292892156862745,0.143765690376569,4.135472909473,0.489754889770145
8.36,38.1098389752568,6.88089536431467,2.23629099340227,4.95294638016235,0.044794523808583,17.1340429072183,0.200561311504057,0.292892156862745,0.143765690376569,4.13794849958366,0.48963875706693
8.37,38.1326251291463,6.8767836846142,2.23495469749961,4.94998674656663,0.0447410058589909,17.1413962333848,0.200475274595523,0.292892156862745,0.143765690376569,4.14042260952046,0.489531933240478
8.38,38.1553976752962,6.87267936691966,2.23362079424889,4.94703241222613,0.0446876156372021,17.1487383015392,0.200389443025674,0.292892156862745,0.143765690376569,4.14289524193525,0.489434379575193
8.39,38.1781566380568,6.86858238928766,2.23228927651849,4.94408336134574,0.0446343526865022,17.156069137516,0.200303816060282,0.292892156862745,0.143765690376569,4.14536639947198,0.489346057549698
8.4,38.2009020417058,6.86449272986627,2.23096013720654,4.94113957819619,0.0445812165523516,17.1633887670706,0.200218392968618,0.292892156862745,0.143765690376569,4.14783608476671,0.489266928835647
8.41,38.2236339104486,6.86041036689452,2.22963336924072,4.93820104711369,0.0445282067823726,17.1706972158797,0.200133173023425,0.292892156862745,0.143765690376569,4.15030430044766,0.489196955296553
